Title,Subtitle,Author,Author Gender,Country,Original Language,Translator,Publication Year,Pages,ISBN,Cover URL,Fiction / Non-fiction,Primary Genre,Secondary Genre,Subgenre,Audience,Series,Series Name,Series Number,Standalone,Themes,Mood / Reading Experience,,Search Tags,Female Author,Female Protagonist,Women Focus,Collections,Recommendation Occasion,Reading Level,Similar Books,One-line Recommendation,Short Description,Instagram Hook,Instagram Post Topic,Best Posting Month,Chapters.Aur.Chai Rating,Read Status,Date Read,Format Read,Owned,Wishlist,Awards,Bestseller,Adaptation,BookTok Popular,Bookstagram Popular
House of Odysseus,,Claire North,Female,United Kingdom,English,,2023,448,,,Fiction,Mythological Fiction,Historical Fiction,Odyssey Retelling,Adult,Yes,The Songs of Penelope,2,No,Homecoming; Family; Kingship; Power,Epic; Political,Sequel; Homecoming,Greek Mythology; Odyssey; Penelope; Historical Fiction,Yes,Yes,Primary,Odyssey Retellings,Greek Mythology Recommendation,Intermediate,Ithaca; The Voyage Home; The Penelopiad,The story continues after the legendary return home.,"Politics, loyalty and survival define the fate of Ithaca.",Coming home doesn't end the story.,Greek Mythology Series Worth Reading,October,,,,,Yes,Bestseller,No,Growing,High,,
The Voyage Home,,Pat Barker,Female,United Kingdom,English,,2024,320,,,Fiction,Mythological Fiction,Historical Fiction,Trojan War Retelling,Adult,Yes,Women of Troy Trilogy,3,No,War; Trauma; Survival; Healing,Emotional; Literary,Aftermath of War,Greek Mythology; Troy; Trojan Women; Historical Fiction,Yes,Yes,Primary,Women of Troy Trilogy,Literary Mythology Recommendation,Intermediate,The Women of Troy; Ithaca; The Silence of the Girls,A moving conclusion about rebuilding life after war.,Pat Barker gives the women of Troy the ending they deserve.,Sometimes survival is the greatest victory.,Best Trojan War Retellings,October,,,,,Yes,Critically Acclaimed,No,Growing,High,,
Medusa,,Rosie Hewlett,Female,United Kingdom,English,,2021,336,,,Fiction,Mythological Fiction,Fantasy,Greek Mythology Retelling,Adult,No,,,Yes,Identity; Transformation; Survival,Emotional; Empowering,Villain Retelling,Medusa; Greek Mythology; Feminist Retelling; Fantasy,Yes,Yes,Primary,Greek Mythology Retellings,Feminist Fiction Recommendation,Beginner,Stone Blind; Ariadne; Medusa (Jessie Burton),A compassionate retelling of mythology's most misunderstood woman.,Rosie Hewlett transforms Medusa from monster to survivor.,Maybe Medusa was never the monster.,Feminist Greek Mythology Books,October,,,,,Yes,Bestseller,No,High,High,,
The Children of Jocasta,,Natalie Haynes,Female,United Kingdom,English,,2017,368,,,Fiction,Mythological Fiction,Historical Fiction,Greek Tragedy Retelling,Adult,No,,,Yes,Fate; Motherhood; Family; Tragedy,Dramatic; Literary,Multiple Perspectives,Greek Mythology; Jocasta; Greek Tragedy; Women-Centric,Yes,Yes,Primary,Greek Tragedy Retellings,Literary Fiction Recommendation,Intermediate,Clytemnestra; No Friend to This House,Jocasta finally receives the empathy history denied her.,Natalie Haynes reclaims forgotten women from Greek tragedy.,Every tragedy has another side.,Greek Tragedies Retold,October,,,,,Yes,Critically Acclaimed,No,High,High,,
Pandora's Jar,Women in the Greek Myths,Natalie Haynes,Female,United Kingdom,English,,2020,320,,,Non-fiction,Mythology,History,Greek Mythology,Adult,No,,,Yes,Women; Myth; Feminism; History,Informative; Accessible,Myth Reinterpretation,Greek Mythology; Non-fiction; Feminism; Greek Goddesses,Yes,No,Primary,Mythology Non-fiction,Beginner Mythology Recommendation,Beginner,Divine Might; Mythos,A fascinating look at the women behind Greek myths.,Natalie Haynes separates myth from centuries of misunderstanding.,Pandora wasn't the villain history made her.,Women in Greek Mythology Explained,October,,,,,Yes,Bestseller,No,High,Very High,,
Clytemnestra,,Costanza Casati,Female,Italy,English,,2023,480,,,Fiction,Mythological Fiction,Historical Fiction,Greek Mythology Retelling,Adult,No,,,Yes,Revenge; Justice; Queenship; Power,Dark; Epic,Villain Origin; Female Perspective,Clytemnestra; Greek Mythology; Retelling; Historical Fiction,Yes,Yes,Primary,Greek Mythology Retellings,Dark Feminist Fiction,Intermediate,Daughters of Sparta; Hera,One of the strongest feminist retellings of recent years.,Costanza Casati gives voice to mythology's most infamous queen.,Queens aren't born villains.,Villainesses of Greek Mythology,October,,,,,Yes,Bestseller,No,Very High,Very High,,
This Immortal Heart,,Jennifer Saint,Female,United Kingdom,English,,2025,,,,Fiction,Mythological Fiction,Historical Fiction,Greek Mythology Retelling,Adult,No,,,Yes,Love; Immortality; Gods; Destiny,Emotional; Epic,Divine Romance,Greek Mythology; Jennifer Saint; Retelling,Yes,Yes,Primary,Greek Mythology Retellings,Mythological Romance Recommendation,Beginner,Ariadne; Hera; Psyche and Eros,Jennifer Saint returns with another emotional mythological retelling.,"A story of divine love, sacrifice and destiny.",Even immortals cannot outrun love.,Jennifer Saint Books in Order,October,,,,,Yes,New Release,No,Growing,Growing,,
Hera,,Jennifer Saint,Female,United Kingdom,English,,2024,352,,,Fiction,Mythological Fiction,Historical Fiction,Greek Mythology Retelling,Adult,No,,,Yes,Marriage; Power; Jealousy; Queenship,Epic; Feminist,Goddess Perspective,Hera; Greek Mythology; Goddesses; Retelling,Yes,Yes,Primary,Greek Goddess Retellings,Women's Day Recommendation,Beginner,Clytemnestra; Ariadne,Hera finally becomes more than mythology's jealous wife.,Jennifer Saint reclaims the Queen of Olympus with nuance and power.,You've only heard Zeus's version.,Powerful Goddesses of Greek Mythology,March,,,,,Yes,Bestseller,No,Very High,Very High,,
Atalanta,,Jennifer Saint,Female,United Kingdom,English,,2023,352,,,Fiction,Mythological Fiction,Historical Fiction,Greek Mythology Retelling,Adult,No,,,Yes,Independence; Adventure; Heroism,Adventurous; Inspiring,Female Hero,Atalanta; Greek Mythology; Argonauts; Retelling,Yes,Yes,Primary,Greek Heroine Retellings,Adventure Recommendation,Beginner,Ariadne; Lore,A thrilling story about one of Greek mythology's greatest female heroes.,"Jennifer Saint celebrates courage, independence and adventure.",She refused to let men write her destiny.,Female Heroes of Greek Mythology,October,,,,,Yes,Bestseller,No,Very High,Very High,,
Ariadne,,Jennifer Saint,Female,United Kingdom,English,,2021,352,,,Fiction,Mythological Fiction,Historical Fiction,Greek Mythology Retelling,Adult,No,,,Yes,Sacrifice; Freedom; Sisterhood,Emotional; Literary,Forgotten Woman,Ariadne; Greek Mythology; Minotaur; Retelling,Yes,Yes,Primary,Greek Mythology Retellings,Beginner Recommendation,Beginner,Circe; Stone Blind,The perfect starting point for readers new to Greek mythology retellings.,Jennifer Saint reimagines the forgotten woman behind the Minotaur myth.,She deserved more than being abandoned.,Where to Start with Greek Mythology Retellings,October,,,,,Yes,International Bestseller,No,Extremely High,Extremely High,,
The Ministry of Utmost Happiness,,Arundhati Roy,Female,India,English,,2017,464,,,Fiction,Literary Fiction,Political Fiction,Contemporary Fiction,Adult,No,,,Yes,Identity; Politics; Love; Marginalization,Complex; Literary,Multiple Narratives,Indian Literature; Literary Fiction; Contemporary India,Yes,Yes,Primary,Indian Literary Fiction,Literary Fiction Recommendation,Advanced,The God of Small Things; A Fine Balance,A profound novel exploring the many identities of modern India.,"Arundhati Roy blends politics, humanity and unforgettable storytelling.",Not an easy read—but an unforgettable one.,Modern Indian Literary Masterpieces,July,,,,,Yes,Critically Acclaimed,No,High,High,,
Where the Library Hides,,Isabel Ibañez,Female,United States,English,,2024,384,,,Fiction,Fantasy,Historical Fantasy,Adventure Fantasy,Young Adult,Yes,Secrets of the Nile,2,No,Egypt; Magic; Romance; Mystery,Fast-paced; Atmospheric,Hidden Magic; Adventure,Egyptian Fantasy; YA Fantasy; Historical Fantasy,Yes,Yes,Primary,Egyptian Fantasy,Fantasy Recommendation,Beginner,What the River Knows,"Ancient Egypt, hidden magic and romance come together beautifully.",The thrilling sequel expands Isabel Ibañez's magical world.,Some libraries hide more than books.,Egyptian Fantasy Books,September,,,,,Yes,Bestseller,No,High,High,,
What the River Knows,,Isabel Ibañez,Female,United States,English,,2023,432,,,Fiction,Fantasy,Historical Fantasy,Egyptian Fantasy,Young Adult,Yes,Secrets of the Nile,1,No,Egyptology; Mystery; Magic; Adventure,Adventurous; Romantic,Archaeology Adventure,Egyptian Mythology; Historical Fantasy; YA Fantasy,Yes,Yes,Primary,Egyptian Fantasy,Historical Fantasy Recommendation,Beginner,Divine Rivals; Belladonna,A magical Egyptian adventure filled with mystery and romance.,One of the strongest YA historical fantasies of recent years.,Indiana Jones meets Egyptian mythology.,Egyptian Mythology Fantasy Books,September,,,,,Yes,Bestseller,No,Very High,Very High,,
Vishnu Purana,,Bibek Debroy (Translator),Male,India,Sanskrit,Bibek Debroy,2022,~900,,,Non-fiction,Hindu Scriptures,Mythology,Purana,Adult,No,,,Yes,Vishnu; Cosmology; Dharma; Creation,Scholarly; Spiritual,Sacred Scripture,Vishnu Purana; Sanatan Dharma; Hindu Scriptures; Puranas,No,No,Secondary,Hindu Scriptures,Sanatan Reading Recommendation,Advanced,Shiva Purana; Bhagavata Purana,An essential Purana for understanding Vishnu and Hindu cosmology.,Bibek Debroy's translation makes this classic scripture highly accessible.,Every mythology lover should know this scripture.,Essential Hindu Scriptures,July,,,,,Yes,Classic Scripture,Numerous Adaptations,Moderate,High,,
Valmiki Ramayana,,Maharishi Valmiki,Male,Ancient India,Sanskrit,Various,Ancient,~2400,,,Non-fiction,Hindu Scriptures,Epic,Itihasa,Adult,No,,,Yes,Rama; Dharma; Duty; Devotion,Epic; Philosophical,Hero's Journey,Ramayana; Valmiki; Hindu Scriptures; Sanskrit Classics,No,No,Secondary,Hindu Scriptures,Foundational Reading Recommendation,Advanced,Ramayana by R.K. Narayan; Bridge of Rama,The original epic that shaped countless retellings across centuries.,The foundational telling of Lord Rama's journey and dharma.,Every Ramayana begins here.,Where to Start Reading the Ramayana,July,,,,,Yes,Timeless Classic,Numerous Adaptations,High,Very High,,
Tuesdays with Morrie,,Mitch Albom,Male,United States,English,,1997,192,,,Non-fiction,Memoir,Philosophy,Inspirational Memoir,Adult,No,,,Yes,Life; Death; Wisdom; Relationships,Emotional; Reflective,Mentor-Student Relationship,Memoir; Life Lessons; Philosophy; Inspirational,No,No,Secondary,Inspirational Books,Life Lessons Recommendation,Beginner,The Five People You Meet in Heaven; Ikigai,A timeless reminder of what truly matters in life.,Mitch Albom's conversations with Morrie continue to inspire millions.,This book will change how you look at life.,Books Everyone Should Read Once,January,,,,,Yes,International Bestseller,Film & TV Adaptation,Extremely High,Extremely High,,
The Yoga Sutras of Patanjali (Translation & Commentary),,Swami Satchidananda,Male,India,Sanskrit,Swami Satchidananda,1978,288,,,Non-fiction,Philosophy,Spirituality,Yoga Philosophy,Adult,No,,,Yes,Meditation; Self-realization; Mindfulness; Yoga,Reflective; Spiritual,Ancient Wisdom,Yoga; Patanjali; Hindu Philosophy; Spirituality; Meditation,No,No,Secondary,Hindu Philosophy,Spiritual Reading Recommendation,Intermediate,Bhagavad Gita; The Upanishads,One of the clearest guides to yogic philosophy and mindful living.,Swami Satchidananda explains Patanjali's wisdom for modern readers.,Yoga begins long before the mat.,Best Books on Yoga Philosophy,June,,,,,Yes,Spiritual Classic,No,Moderate,High,,
The Wonder That Was India,,A. L. Basham,Male,United Kingdom,English,,1954,576,,,Non-fiction,Indian History,Cultural History,Ancient India,Adult,No,,,Yes,Ancient India; Civilization; Religion; Culture,Scholarly; Informative,Historical Survey,Ancient India; Indian History; Culture; Civilization; Hinduism,No,No,Secondary,Indian History Essentials,Indian History Recommendation,Intermediate,India: A History; Early Indians,A timeless introduction to the history and culture of ancient India.,"A classic work exploring India's civilization, religion and philosophy.",Every Indian history reader should own this book.,Beginner Books on Ancient India,August,,,,,Yes,Classic,No,Moderate,High,,
The Women of Troy,,Pat Barker,Female,United Kingdom,English,,2021,320,,,Fiction,Mythological Fiction,Historical Fiction,Trojan War Retelling,Adult,Yes,Women of Troy Trilogy,2,No,War; Survival; Womanhood; Trauma,Emotional; Literary,Aftermath of War; Female Perspective,Greek Mythology; Troy; Retelling; Women-Centric,Yes,Yes,Primary,Greek Mythology Retellings,Mythology Recommendation,Intermediate,The Silence of the Girls; Ithaca; Ariadne,A powerful exploration of the women left behind after Troy's fall.,Pat Barker gives voice to the survivors of the Trojan War.,Troy ended. Their battle had just begun.,Best Trojan War Retellings,October,,,,,Yes,Bestseller,No,High,Very High,,
The Widows of Malabar Hill,,Sujata Massey,Female,United States,English,,2018,384,,,Fiction,Historical Mystery,Historical Fiction,Legal Mystery,Adult,Yes,Perveen Mistry Mysteries,1,No,Justice; Women's Rights; Colonial India,Atmospheric; Engaging,Female Detective; Historical Mystery,Historical Mystery; India; Female Detective; Parsi,Yes,Yes,Primary,Indian Historical Mysteries,Historical Mystery Recommendation,Beginner,A Rising Man; The Bangalore Detectives Club,A brilliant legal mystery set in colonial Bombay.,"Meet Perveen Mistry, India's first female solicitor solving impossible cases.",Meet the detective you've probably never heard of.,Indian Historical Mystery Books,February,,,,,Yes,Award-winning Series,No,Moderate,High,,
The White Tiger,,Aravind Adiga,Male,India,English,,2008,321,,,Fiction,Literary Fiction,Contemporary Fiction,Social Satire,Adult,No,,,Yes,Class; Corruption; Ambition; Inequality,Dark; Satirical,Unreliable Narrator; Social Commentary,Indian Literature; Booker Prize; Contemporary India,No,No,Secondary,Modern Indian Classics,Literary Fiction Recommendation,Intermediate,Sacred Games; A Fine Balance,A sharp and unforgettable satire on ambition and inequality.,Aravind Adiga's Booker Prize-winning novel remains strikingly relevant.,The darkest success story you'll ever read.,Modern Indian Classics Everyone Should Read,July,,,,,Yes,Booker Prize Winner,Film Adaptation,High,High,,
The Upanishads (Translation),,Eknath Easwaran,Male,India,Sanskrit,Eknath Easwaran,1987,368,,,Non-fiction,Hindu Scriptures,Philosophy,Spiritual Classics,Adult,No,,,Yes,Self; Consciousness; Spirituality; Wisdom,Reflective; Philosophical,Ancient Wisdom,Upanishads; Hindu Philosophy; Spirituality; Vedanta,No,No,Secondary,Hindu Scriptures,Spiritual Reading Recommendation,Intermediate,Bhagavad Gita; Yoga Sutras of Patanjali,A beautiful and accessible translation of Hindu philosophy.,Eknath Easwaran makes profound spiritual teachings approachable.,Ancient wisdom that still changes lives.,Best Books on Hindu Philosophy,July,,,,,Yes,Classic Scripture,No,Moderate,High,,
The Untold Story of Sita,,Dena Merriam,Female,United States,English,,2022,320,,,Non-fiction,Mythology,Spirituality,Ramayana Studies,Adult,No,,,Yes,Sita; Dharma; Divine Feminine,Reflective; Spiritual,Character Study,Sita; Ramayana; Hindu Mythology; Spiritual Books,Yes,Yes,Primary,Women of Ramayana,Mythology Recommendation,Beginner,Sita's Sister; The Liberation of Sita,A spiritual exploration of Sita beyond the traditional narrative.,A thoughtful look at one of the most revered women in Hindu tradition.,Was Sita more powerful than we realise?,Books That Reimagine Sita,July,,,,,Yes,Critically Acclaimed,No,Moderate,High,,
The Travelling Cat Chronicles,,Hiro Arikawa,Female,Japan,Japanese,Philip Gabriel,2012,288,,,Fiction,Literary Fiction,Contemporary Fiction,Japanese Fiction,Adult,No,,,Yes,Friendship; Love; Loss; Companionship,Heartwarming; Emotional,Animal Companion,Japanese Literature; Cats; Cozy Reads,Yes,No,Secondary,Japanese Comfort Reads,Comfort Read Recommendation,Beginner,The Guest Cat; We'll Prescribe You a Cat,"A moving story celebrating love, friendship and life's final journey.",Hiro Arikawa delivers one of Japan's most heartwarming novels.,You'll never look at your pet the same way again.,Emotional Japanese Fiction,November,,,,,Yes,International Bestseller,No,High,Very High,,
The Time Traveller Who Could Not Get Laid,,Abhishek Tripathi,Male,India,English,,2017,272,,,Fiction,Science Fiction,Humour,Time Travel,Adult,No,,,Yes,Time Travel; Love; Friendship,Funny; Lighthearted,Time Loop,Indian Sci-Fi; Time Travel; Humour,No,No,Secondary,Indian Science Fiction,Sci-Fi Recommendation,Beginner,Project Hail Mary; The Psychology of Time Travel,A humorous Indian take on time travel and relationships.,"Fast-paced, witty and packed with pop-culture references.",Time travel has never been this chaotic.,Indian Sci-Fi Books,May,,,,,Yes,No,No,Low,Moderate,,
